CaseAcc,Animal,DateCollected,Age,Sex,waypoint,Measurement,MeasureValue,MeasurementUnit
25518-36,Snapper: Bluestriped,11/7/17,Unknown,Male,Barbers Point FR1B,Weight carcass,132.3,g
25518-36,Snapper: Bluestriped,11/7/17,Unknown,Male,Barbers Point FR1B,Total length,20.6,cm
25518-36,Snapper: Bluestriped,11/7/17,Unknown,Male,Barbers Point FR1B,Fork length,19.9,cm
25518-36,Snapper: Bluestriped,11/7/17,Unknown,Male,Barbers Point FR1B,Weight liver,0.568,g
25518-35,Snapper: Bluestriped,11/7/17,Unknown,Female,Barbers Point FR1B,Weight carcass,142.2,g
25518-35,Snapper: Bluestriped,11/7/17,Unknown,Female,Barbers Point FR1B,Weight liver,1.014,g
25518-35,Snapper: Bluestriped,11/7/17,Unknown,Female,Barbers Point FR1B,Total length,20.9,cm
25518-35,Snapper: Bluestriped,11/7/17,Unknown,Female,Barbers Point FR1B,Fork length,19.7,cm
25518-37,Snapper: Bluestriped,11/7/17,Unknown,Male,Barbers Point FR1B,Weight carcass,170.5,g
25518-37,Snapper: Bluestriped,11/7/17,Unknown,Male,Barbers Point FR1B,Total length,22.3,cm
25518-37,Snapper: Bluestriped,11/7/17,Unknown,Male,Barbers Point FR1B,Fork length,21.8,cm
25518-37,Snapper: Bluestriped,11/7/17,Unknown,Male,Barbers Point FR1B,Weight liver,0.867,g
25518-31,Snapper: Bluestriped,11/7/17,Unknown,Female,Barbers Point FR1B,Weight carcass,176.6,g
25518-31,Snapper: Bluestriped,11/7/17,Unknown,Female,Barbers Point FR1B,Total length,22.2,cm
25518-31,Snapper: Bluestriped,11/7/17,Unknown,Female,Barbers Point FR1B,Fork length,21.5,cm
25518-31,Snapper: Bluestriped,11/7/17,Unknown,Female,Barbers Point FR1B,Weight liver,0.909,g
25518-32,Snapper: Bluestriped,11/7/17,Unknown,Female,Barbers Point FR1B,Weight carcass,106.4,g
25518-32,Snapper: Bluestriped,11/7/17,Unknown,Female,Barbers Point FR1B,Total length,19.4,cm
25518-32,Snapper: Bluestriped,11/7/17,Unknown,Female,Barbers Point FR1B,Fork length,18.6,cm
25518-32,Snapper: Bluestriped,11/7/17,Unknown,Female,Barbers Point FR1B,Weight liver,0.561,g
25518-33,Snapper: Bluestriped,11/7/17,Unknown,Unknown,Barbers Point FR1B,Weight carcass,99.2,g
